country_name, 1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,
United States,13.478,13.426,13.242,13.499,13.434,13.384,13.071,12.812,12.553,12.345,12.377,12.602,12.876,12.985,12.880,13.202,13.376,13.454,13.605,13.746,13.688,13.960,14.055,14.148,14.342,14.664,15.013,15.023,
Japan,19.077,19.005,19.183,19.260,19.206,19.924,20.155,20.995,23.392,24.553,24.539,24.821,25.025,25.833,25.703,26.134,25.691,25.636,25.421,25.245,25.011,24.806,23.826,23.315,22.864,22.202,22.306,22.451,
India,18.364,18.496,18.601,18.070,17.743,17.488,17.152,17.714,17.898,18.320,18.298,17.788,17.149,16.440,16.046,16.342,16.213,16.007,16.142,16.424,16.709,16.941,16.508,16.011,15.750,15.171,15.299,15.274,
France,25.802,25.580,25.383,25.446,24.792,24.329,24.042,23.587,23.431,22.791,22.002,21.799,21.580,21.278,20.180,20.122,19.851,19.577,19.656,20.000,19.918,19.542,18.862,18.309,17.584,17.420,16.918,16.842,
China,19.150,19.538,20.062,20.196,20.055,19.865,19.093,18.126,17.091,15.851,14.369,12.420,11.401,11.482,11.816,11.462,10.865,10.429,10.167,10.037,9.891,9.516,9.237,9.022,9.091,9.144,9.098,9.104,
Portugal,16.393,16.837,16.494,16.023,14.689,14.671,14.531,14.077,13.493,13.180,13.021,13.093,13.106,12.897,12.170,12.004,12.196,12.806,13.130,13.397,13.601,13.483,13.476,13.374,13.327,12.483,12.512,12.720,
Ecuador,5.007,5.503,5.727,5.944,6.110,6.281,6.831,6.725,7.040,7.290,7.261,7.235,7.820,8.303,8.725,9.320,9.586,9.941,10.252,10.457,10.554,10.455,10.216,9.768,9.585,9.504,9.372,9.360,
Australia,13.952,13.825,13.840,13.467,13.943,14.057,14.350,14.634,14.730,14.264,13.686,13.051,12.620,12.236,11.930,11.720,11.604,11.955,12.166,12.249,12.296,12.187,12.042,12.125,12.648,12.997,12.779,12.760,
Philippines,9.765,9.345,8.349,7.186,6.752,6.345,5.755,4.933,4.334,3.692,3.843,3.793,3.775,3.756,3.659,3.770,3.990,4.162,4.367,4.600,4.710,4.821,4.961,5.033,5.145,5.379,5.388,5.383,
Spain,8.915,9.069,8.910,8.900,8.958,9.094,9.207,9.161,9.151,9.227,9.004,8.899,8.895,9.004,8.754,8.642,8.422,8.454,8.419,8.220,8.082,8.161,8.289,8.274,8.320,8.452,8.145,8.068,
Maldives,7.137,6.654,6.199,5.844,5.643,5.309,5.066,4.939,4.765,4.450,4.178,3.912,3.748,3.632,3.516,3.450,3.429,3.405,3.339,3.172,3.107,3.081,3.026,3.060,3.109,3.163,3.231,3.299,
United Kingdom,10.762,10.646,10.450,10.484,10.162,10.296,10.212,10.012,10.066,9.973,9.690,9.438,9.314,9.126,8.792,8.633,8.860,8.772,8.920,8.793,8.682,8.467,8.292,8.485,8.438,8.590,8.691,8.671,
Greece,4.219,4.299,4.273,4.218,4.098,4.044,3.995,3.891,3.875,3.870,3.821,3.738,3.669,3.789,3.888,3.972,3.946,4.116,4.185,4.352,4.404,4.661,4.894,4.884,5.011,5.122,5.008,4.975,
Denmark,30.113,28.478,27.545,26.839,25.433,23.604,22.113,20.379,18.743,18.625,16.675,16.058,15.888,15.245,14.689,13.874,14.084,14.082,13.532,13.408,13.043,12.594,12.354,12.149,11.886,11.654,11.928,12.120,
Greenland,109.300,103.796,98.695,94.885,91.480,88.246,86.352,85.087,83.298,81.221,79.160,78.355,77.059,75.777,75.572,74.776,73.916,72.041,71.389,70.682,69.810,68.008,66.435,65.649,64.650,59.528,58.284,57.611,
Puerto Rico,10.164,10.185,10.232,10.536,9.884,9.822,9.334,8.773,9.015,8.222,8.129,8.239,7.656,7.542,7.715,7.965,7.871,7.915,8.014,8.274,7.824,8.002,7.558,7.484,7.137,7.075,7.454,7.723,
