country_name, 1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,
United States,73.700,74.160*,74.620*,75.080*,75.540*,76.000,76.360*,76.720*,77.080*,77.440*,77.800,78.000*,78.200*,78.400*,78.600*,78.800,79.140*,79.480*,79.820*,80.160*,80.500,80.660*,80.820*,80.980*,81.140*,81.300,
Japan,78.300,78.780*,79.260*,79.740*,80.220*,80.700,81.140*,81.580*,82.020*,82.460*,82.900,83.440*,83.980*,84.520*,85.060*,85.600,86.040*,86.480*,86.920*,87.360*,87.800,88.040*,88.280*,88.520*,88.760*,89.000,
India,30.700,31.180*,31.660*,32.140*,32.620*,33.100,33.540*,33.980*,34.420*,34.860*,35.300,35.880*,36.460*,37.040*,37.620*,38.200,38.800*,39.400*,40.000*,40.600*,41.200,41.920*,42.640*,43.360*,44.080*,44.800,
France,74.300,74.940*,75.580*,76.220*,76.860*,77.500,78.060*,78.620*,79.180*,79.740*,80.300,81.080*,81.860*,82.640*,83.420*,84.200,84.500*,84.800*,85.100*,85.400*,85.700,86.140*,86.580*,87.020*,87.460*,87.900,
China,49.500,50.340*,51.180*,52.020*,52.860*,53.700,54.520*,55.340*,56.160*,56.980*,57.800,58.980*,60.160*,61.340*,62.520*,63.700,64.940*,66.180*,67.420*,68.660*,69.900,70.760*,71.620*,72.480*,73.340*,74.200,
Portugal,67.200,68.060*,68.920*,69.780*,70.640*,71.500,72.140*,72.780*,73.420*,74.060*,74.700,75.700*,76.700*,77.700*,78.700*,79.700,80.140*,80.580*,81.020*,81.460*,81.900,82.420*,82.940*,83.460*,83.980*,84.500,
Ecuador,45.400,46.060*,46.720*,47.380*,48.040*,48.700,49.660*,50.620*,51.580*,52.540*,53.500,54.020*,54.540*,55.060*,55.580*,56.100,56.600*,57.100*,57.600*,58.100*,58.600,59.120*,59.640*,60.160*,60.680*,61.200,
Australia,78.000,78.560*,79.120*,79.680*,80.240*,80.800,81.380*,81.960*,82.540*,83.120*,83.700,84.200*,84.700*,85.200*,85.700*,86.200,86.600*,87.000*,87.400*,87.800*,88.200,88.520*,88.840*,89.160*,89.480*,89.800,
Philippines,45.000,45.220*,45.440*,45.660*,45.880*,46.100,46.380*,46.660*,46.940*,47.220*,47.500,47.520*,47.540*,47.560*,47.580*,47.600,48.000*,48.400*,48.800*,49.200*,49.600,50.080*,50.560*,51.040*,51.520*,52.000,
Spain,73.900,74.740*,75.580*,76.420*,77.260*,78.100,78.760*,79.420*,80.080*,80.740*,81.400,81.940*,82.480*,83.020*,83.560*,84.100,84.720*,85.340*,85.960*,86.580*,87.200,87.680*,88.160*,88.640*,89.120*,89.600,
Maldives,45.900,47.040*,48.180*,49.320*,50.460*,51.600,53.140*,54.680*,56.220*,57.760*,59.300,60.860*,62.420*,63.980*,65.540*,67.100,68.260*,69.420*,70.580*,71.740*,72.900,73.420*,73.940*,74.460*,74.980*,75.500,
United Kingdom,74.300,74.760*,75.220*,75.680*,76.140*,76.600,76.960*,77.320*,77.680*,78.040*,78.400,78.840*,79.280*,79.720*,80.160*,80.600,81.020*,81.440*,81.860*,82.280*,82.700,83.080*,83.460*,83.840*,84.220*,84.600,
Greece,76.500,77.100*,77.700*,78.300*,78.900*,79.500,80.040*,80.580*,81.120*,81.660*,82.200,82.640*,83.080*,83.520*,83.960*,84.400,84.560*,84.720*,84.880*,85.040*,85.200,85.560*,85.920*,86.280*,86.640*,87.000,
