country_name, 1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,
United States,5.302,5.295,5.294,5.293,5.295,5.299,5.331,5.368,5.409,5.451,5.501,5.500,5.500,5.500,5.498,5.498,5.472,5.442,5.410,5.382,5.356,5.355,5.354,5.354,5.352,5.350,5.349,
Japan,3.571,3.588,3.603,3.619,3.631,3.642,3.636,3.631,3.623,3.612,3.600,3.623,3.646,3.670,3.692,3.716,3.728,3.739,3.748,3.758,3.769,3.809,3.850,3.892,3.934,3.976,4.020,
India,3.166,3.180,3.194,3.214,3.236,3.259,3.276,3.294,3.317,3.340,3.371,3.395,3.423,3.452,3.482,3.515,3.479,3.445,3.414,3.387,3.362,3.387,3.413,3.443,3.476,3.512,3.549,
France,5.201,5.170,5.141,5.104,5.073,5.042,5.033,5.017,5.015,5.010,4.995,4.958,4.921,4.878,4.844,4.808,4.858,4.907,4.956,5.022,5.075,5.055,5.026,5.012,4.988,4.965,4.947,
China,3.476,3.502,3.521,3.533,3.543,3.558,3.567,3.586,3.614,3.652,3.695,3.734,3.777,3.822,3.870,3.917,3.980,4.041,4.101,4.158,4.216,4.222,4.230,4.237,4.245,4.255,4.261,
Portugal,5.485,5.507,5.525,5.544,5.559,5.564,5.589,5.604,5.623,5.634,5.649,5.688,5.729,5.781,5.827,5.867,5.872,5.875,5.875,5.887,5.891,5.871,5.851,5.826,5.812,5.794,5.778,
Ecuador,2.568,2.587,2.604,2.623,2.637,2.659,2.671,2.684,2.694,2.711,2.730,2.749,2.767,2.790,2.812,2.835,2.856,2.871,2.894,2.910,2.933,2.958,2.975,3.001,3.015,3.031,3.057,
Australia,5.058,5.096,5.125,5.172,5.208,5.240,5.241,5.249,5.248,5.249,5.249,5.287,5.319,5.354,5.389,5.429,5.417,5.404,5.395,5.375,5.360,5.332,5.303,5.277,5.256,5.229,5.208,
Philippines,2.305,2.301,2.300,2.296,2.300,2.302,2.282,2.263,2.255,2.243,2.233,2.238,2.243,2.251,2.258,2.268,2.294,2.324,2.356,2.389,2.424,2.455,2.470,2.497,2.525,2.552,2.575,
Spain,4.357,4.327,4.303,4.283,4.258,4.239,4.232,4.213,4.203,4.181,4.166,4.153,4.135,4.121,4.106,4.084,4.110,4.137,4.158,4.191,4.219,4.235,4.242,4.257,4.276,4.287,4.298,
Maldives,2.742,2.741,2.750,2.756,2.774,2.796,2.797,2.803,2.819,2.833,2.863,2.883,2.906,2.936,2.953,2.977,2.997,3.004,3.019,3.033,3.041,3.047,3.061,3.080,3.097,3.109,3.127,
United Kingdom,4.886,4.874,4.864,4.855,4.848,4.844,4.843,4.844,4.846,4.850,4.860,4.827,4.794,4.759,4.724,4.693,4.702,4.706,4.711,4.714,4.720,4.719,4.721,4.723,4.731,4.740,4.752,
Greece,4.712,4.711,4.697,4.695,4.691,4.688,4.766,4.841,4.914,5.000,5.078,5.114,5.147,5.181,5.212,5.244,5.232,5.222,5.204,5.191,5.176,5.155,5.122,5.100,5.079,5.051,5.027,
Denmark,4.485,4.479,4.474,4.460,4.448,4.440,4.354,4.281,4.200,4.132,4.059,4.022,3.983,3.948,3.917,3.887,3.871,3.854,3.843,3.825,3.812,3.813,3.824,3.828,3.833,3.836,3.842,
Greenland,7.084,7.086,7.071,7.099,7.111,7.131,7.079,7.031,7.010,6.976,6.955,6.934,6.925,6.905,6.915,6.910,6.929,6.929,6.938,6.957,6.968,6.933,6.908,6.870,6.823,6.765,6.708,
Puerto Rico,3.566,3.583,3.602,3.622,3.642,3.665,3.672,3.678,3.690,3.692,3.699,3.710,3.714,3.728,3.742,3.757,3.765,3.773,3.780,3.789,3.799,3.814,3.837,3.852,3.868,3.889,3.909,
Virgin Islands (U.S.),3.202,3.233,3.264,3.299,3.334,3.371,3.392,3.411,3.431,3.451,3.481,3.522,3.571,3.613,3.660,3.701,3.739,3.773,3.811,3.843,3.880,3.906,3.927,3.947,3.974,3.990,4.008,
Canada,4.342,4.343,4.348,4.349,4.357,4.365,4.374,4.382,4.392,4.403,4.413,4.390,4.355,4.328,4.298,4.269,4.252,4.230,4.210,4.186,4.165,4.178,4.185,4.203,4.217,4.230,4.247,
Argentina,3.635,3.656,3.681,3.702,3.727,3.748,3.766,3.786,3.795,3.809,3.820,3.816,3.823,3.826,3.833,3.841,3.843,3.844,3.841,3.842,3.842,3.847,3.854,3.860,3.871,3.875,3.887,
Chile,4.468,4.468,4.465,4.463,4.468,4.469,4.471,4.463,4.460,4.464,4.468,4.475,4.471,4.475,4.475,4.480,4.462,4.434,4.417,4.397,4.378,4.388,4.405,4.417,4.432,4.447,4.459,
Cape Verde,3.019,3.028,3.047,3.063,3.087,3.117,3.143,3.177,3.212,3.252,3.295,3.339,3.383,3.431,3.488,3.536,3.572,3.610,3.646,3.694,3.740,3.762,3.794,3.813,3.838,3.863,3.891,
Dominica,2.767,2.778,2.786,2.789,2.797,2.805,2.820,2.844,2.870,2.900,2.931,2.952,2.981,3.003,3.027,3.050,3.065,3.076,3.091,3.105,3.122,3.147,3.171,3.195,3.217,3.236,3.275,
Seychelles,2.599,2.631,2.660,2.692,2.717,2.743,2.753,2.765,2.783,2.803,2.829,2.847,2.869,2.894,2.913,2.930,2.943,2.957,2.967,2.993,3.019,3.037,3.060,3.080,3.097,3.114,3.140,
Jamaica,2.630,2.629,2.634,2.630,2.633,2.639,2.651,2.668,2.684,2.702,2.723,2.741,2.764,2.789,2.810,2.835,2.851,2.866,2.883,2.899,2.919,2.950,2.976,3.008,3.036,3.068,3.098,
Oman,2.847,2.849,2.859,2.880,2.901,2.927,2.931,2.932,2.944,2.948,2.961,2.977,2.995,3.020,3.049,3.088,3.140,3.184,3.239,3.292,3.357,3.427,3.497,3.564,3.622,3.666,3.698,
Saint Vincent and Grenadines,2.613,2.642,2.672,2.708,2.741,2.772,2.812,2.851,2.893,2.937,2.982,3.017,3.052,3.090,3.129,3.168,3.195,3.222,3.245,3.272,3.297,3.322,3.343,3.371,3.387,3.410,3.440,
Solomon Islands,2.361,2.378,2.395,2.417,2.440,2.458,2.462,2.467,2.470,2.473,2.484,2.487,2.488,2.489,2.501,2.510,2.521,2.532,2.540,2.547,2.559,2.560,2.570,2.573,2.586,2.600,2.616,
Saint Lucia,2.697,2.724,2.752,2.782,2.810,2.834,2.854,2.887,2.914,2.944,2.982,3.014,3.051,3.086,3.126,3.169,3.217,3.263,3.301,3.347,3.378,3.404,3.444,3.468,3.499,3.529,3.558,
Norway,4.594,4.611,4.618,4.634,4.643,4.648,4.564,4.491,4.415,4.348,4.280,4.269,4.262,4.255,4.248,4.245,4.230,4.217,4.207,4.195,4.180,4.211,4.254,4.285,4.328,4.360,4.397,
Bahrain,4.053,4.079,4.111,4.153,4.210,4.271,4.296,4.315,4.323,4.331,4.329,4.337,4.356,4.381,4.419,4.438,4.460,4.479,4.496,4.497,4.501,4.456,4.422,4.387,4.350,4.329,4.324,
Indonesia,2.282,2.296,2.312,2.325,2.339,2.355,2.372,2.391,2.410,2.428,2.449,2.462,2.475,2.488,2.502,2.516,2.529,2.539,2.547,2.556,2.567,2.594,2.622,2.653,2.685,2.717,2.749,
Mauritius,3.566,3.583,3.602,3.634,3.665,3.695,3.718,3.746,3.774,3.803,3.837,3.845,3.854,3.866,3.886,3.911,3.935,3.960,3.984,4.012,4.038,4.058,4.076,4.099,4.112,4.128,4.150,
Sweden,5.750,5.731,5.708,5.693,5.675,5.659,5.640,5.619,5.599,5.582,5.569,5.559,5.549,5.536,5.532,5.524,5.519,5.510,5.502,5.492,5.486,5.478,5.467,5.451,5.437,5.423,5.412,
